1470648328275: 	acted on	menu
1470648329614: 	acted on	innerText
1470648329764: 	sub-instrument	start	draw	true
1470648329766: 	activate	draw
1470648332690: 	acted on	sample
1470648400006: 	draw	image-37	{"x":105,"y":116}
1470648400030: 	draw	image-37	{"x":103,"y":117}
1470648400039: 	draw	image-37	{"x":103,"y":118}
1470648400055: 	draw	image-37	{"x":101,"y":119}
1470648400072: 	draw	image-37	{"x":99,"y":120}
1470648400089: 	draw	image-37	{"x":97,"y":121}
1470648400104: 	draw	image-37	{"x":96,"y":121}
1470648400114: 	draw	image-37	{"x":95,"y":122}
1470648400139: 	draw	image-37	{"x":93,"y":122}
1470648400155: 	draw	image-37	{"x":92,"y":123}
1470648400172: 	draw	image-37	{"x":90,"y":124}
1470648400189: 	draw	image-37	{"x":89,"y":124}
1470648400205: 	draw	image-37	{"x":87,"y":125}
1470648400222: 	draw	image-37	{"x":85,"y":125}
1470648400239: 	draw	image-37	{"x":83,"y":126}
1470648400255: 	draw	image-37	{"x":81,"y":126}
1470648400271: 	draw	image-37	{"x":80,"y":126}
1470648400279: 	draw	image-37	{"x":79,"y":126}
1470648400297: 	draw	image-37	{"x":77,"y":126}
1470648400316: 	draw	image-37	{"x":75,"y":126}
1470648400331: 	draw	image-37	{"x":73,"y":126}
1470648400354: 	draw	image-37	{"x":71,"y":126}
1470648400363: 	draw	image-37	{"x":70,"y":126}
1470648400389: 	draw	image-37	{"x":68,"y":126}
1470648400414: 	draw	image-37	{"x":66,"y":126}
